match_iou_threshold,frames,gt_observations,tracker_observations,true_positive,false_positive,false_negative,precision,recall,f1,total_tracks,matched_tracks,tracks_purity_ge_0_80,tracks_purity_ge_0_90,mean_track_purity,median_track_purity,gt_persons_matched,total_fragments,mean_tracklets_per_person,median_tracklets_per_person,max_tracklets_per_person,approx_id_switches,mean_dominant_track_fraction
0.3,400,6703,9536,4511,5025,2192,0.4730494966442953,0.6729822467551843,0.5555760822710758,679,361,275,250,0.8785580265181588,1.0,266,380,2.4285714285714284,2.0,26,509,0.8183322059062985
0.5,400,6703,9536,3935,5601,2768,0.41264681208053694,0.5870505743696852,0.48463575343309323,679,322,255,228,0.8912262062867353,1.0,258,287,2.112403100775194,1.0,20,358,0.8479844604191097
